itemCode,product,qty,unit,unitPriceUSD,amountUSD,mfgLot,barcode
GRFS150,GENOSYS Manual Detachable Roller -1.5mm,5,Box,8.0,40.0,,8809392230543
GRME025,GENOSYS EYE ROLLER,20,Box,7.0,140.0,,8809392231380
GCCL01,GENOSYS SNOW O2 CLEANSER -180ml,100,Pcs,11.0,1100.0,20290406/WPD016,8809205627713
GCCL02,GENOSYS SNOW O2 CLEANSER -500ml,40,Pcs,16.3,652.0,20281202/WOL027,8809205630263
GCCL05,GENOSYS CERABARRIER BIOME GEL CLEANSER -200ml,98,Pcs,7.0,686.0,20290423/6692FD,8809849809834
GCCL06,GENOSYS CERABARRIER BIOME GEL CLEANSER -600ml,30,Pcs,10.0,300.0,20290507/0772FE,8809849809841
GCTN01,GENOSYS SNOW BOOSTER TONER -200ml,80,Pcs,7.9,632.0,20290108/WPA037,8809205628642
GCTN02,GENOSYS SNOW BOOSTER TONER -1000ml,20,Pcs,16.30,326.00,20290129/WPA153,8809205630256
GCTN03,GENOSYS INTENSIVE PROBLEM CONTROL TONER -200ml,30,Pcs,9.2,276.0,20280925/PI002,8809579274438
GCMA05,GENOSYS HYDRO COOL MODELING MASK,10,Pouch,15.8,158.0,,8809392232011
GCMA09,GENOSYS SOOTHING BOMB SEA ALAGE MASK(BULK),3,Box,90.0,270.0,20281210/251211AD007G6,8809579273974
GCMA06,GENOSYS INTENSIVE REPAIR COLLAGEN MASK,300,Pcs,0.8,240.0,20280609/PL004,8809392232042
GCPS05,GENOSYS CTS POWER SOLUTION,6,Box,21.3,127.8,20290201/1ABRMP001,8809046298677
GCMA01,GENOSYS CO2 FACE MASK KIT,50,Box,15.8,790.0,G:20290316/WPC086 S:20290408/WPD019,8809205627355
GCMA11,GENOSYS SKIN RESCUE OVERNIGHT CREAM MASK -100g,20,Pcs,13.0,260.0,20290405/F06D41,8809639177464
GCAP02,GENOSYS BIO-MESO PDRN EXPERT AMPOULE 60000,110,Box,23.0,2530.0,20290211/0012FB,8809849808189
GCAP01,GENOSYS BIO-MESO PDRN HOMECARE AMPOULE 5000,80,Pcs,9.3,744.0,20290211/3062FB,8809849808110
GCCR07,GENOSYS SOOTHING REPAIR POSTCREAM -20g *12pcs,10,Box,54.5,545.0,20290226/L0124D,8809046298684
GCCR43,GENOSYS SOOTHING REPAIR POSTCREAM -100g,40,Pcs,14.3,572.0,20290121/L1218C,8809367898143
GCFO02,GENOSYS Cushion + Refill / Color: #02 BEIGE,100,Box,14.0,1400.0,20290324/F25C21,8809639176368
GCEC00,GENOSYS EYECELL Kit,10,Box,36.0,360.0,C:20281020/L0931C S:20280724/L0734C P:20280413/PJ004,8809046298035
GAHR01,GENOSYS HAIRGEN BOOSTER(LED LAMP),5,Unit,160.0,800.0,N/A,8809392232271
CCVS03,GENOSYS HAIRSTAMP FOR HAIRGEN BOOSTER,15,Box,28.0,420.0,V290521/V260522,8809392232240
GMAC05,GENOSYS Non Woven Bag (S),300,Pcs,0.7,210.0,N/A,
GCCL03,GENOSYS SNOW O2 -4g * 30 pcs,10,Box,24.0,240.0,20290304/WPC024,
GCCR42,GENOSYS INTENSIVE BLEMISH BALM CREAM -2gx50pcs,4,Box,25.0,100.0,20290311/WPC058,
GCCR48,GENOSYS REVITA GLOW BB CREAM #01 BRIGHT -2g * 50 pcs,2,Box,40.0,80.0,20281107/SX205,
GCCR49,GENOSYS REVITA GLOW BB CREAM / Color: #02 NATURAL -2g * 50 pcs,2,Box,40.0,80.0,20281110/SX206,
GCCR20,GENOSYS INTENSIVE HYDRO SOOTHING CREAM -2g * 100 pcs,4,Box,34.0,136.0,20280805/WOH019,
GCCR22,GENOSYS INTENSIVE PROBLEM CONTROL CREAM -2g * 50 pcs,6,Box,23.0,138.0,20290305/F06C20,
GCSP-CB01,GENOSYS MULTI ANTI-WRINKLE SERUM + CREAM MFC 2g + MFS 2g * 50 pcs,8,Box,35.0,280.0,C:20290219/QB002 S:20290219/QB001,
GCSE18,GENOSYS MOISTURE REPLENISHING HYALURON SERUM -2mlx100pcs,4,Box,36.0,144.0,20290129/F30A07,
GCCR41,GENOSYS MOISTURE REPLENISHING HYALURON CREAM -2gx100pcs,4,Box,35.0,140.0,20290211/F12B20,
GCSE16,GENOSYS MULTI VITA RADIANCE SERUM -2mlx100pcs,2,Box,36.0,72.0,20280827/E28H22,
GCCR24,GENOSYS SKIN BARRIER PROTECTING CREAM -2g * 100 pcs,2,Box,3.0,6.0,20280713/WOG095,
GCEX02,GENOSYS EPI TURNOVER BOOSTING PEELING GEL -2gx50pcs,4,Box,3.0,12.0,20281202/PL068,
GCMA12,GENOSYS SKIN RESCUE OVERNIGHT CREAM MASK -2gx50pcs,4,Box,3.0,12.0,20290119/F20A21,
GCHR21,GENOSYS HR3 MATRIX MEDI SCALP SHAMPOO α -30ml,80,Pcs,1.0,80.0,20280929/I30Y001,
