itemCode,product,qty,unit,unitPriceUSD,amountUSD,mfgLot,barcode,montaji
GCMR02,GENOSYS SKIN DEFENDER LIP & EYE MAKEUP REMOVER -200ml,70,Pcs,9.9,693.0,20290604/RF120,8809975190530,core
GCMA10,GENOSYS SOOTHING BOMB SEA ALAGE MASK(HOMECARE),15,Box,9.8,147.0,20281120/QE002,8809579274179,core
GCMA14,GENOSYS SKIN REBOOT PDRN MASK PACK,90,Box,11.5,1035.0,20280413/3792FD,8809849807809,core
GCPS02,GENOSYS SWS POWER SOLUTION,30,Box,21.3,639.0,20290504/L0302D,8809046298653,core
GCPS05,GENOSYS CTS POWER SOLUTION,20,Box,21.3,426.0,20280925/L0903C,8809046298677,core
GCSE13,GENOSYS MULTI FUNCTIONAL ANTI-WRINKLE SERUM -30ml,20,Pcs,10.4,208.0,20281016/PJ003,8809579274704,core
GCSE14,GENOSYS MULTI VITA RADIANCE SERUM -30ml,20,Pcs,10.9,218.0,20290330/F31C07,8809639178614,core
GCSE03,GENOSYS PROBLEM CONTROL SERUM -30ml,20,Pcs,10.4,208.0,20280420/WOD023,8809205624873,core
GCSE17,GENOSYS MOISTURE REPLENISHING HYALURON SERUM -30ml,60,Pcs,10.9,654.0,20290615/F16F27,8809639178775,core
GCSE05,GENOSYS ALL FOR SENSITIVE SERUM -30ml,20,Pcs,10.4,208.0,20290412/WPD035,8809392232035,core
GCCR44,GENOSYS PROBLEM CONTROL CREAM -50g,50,Pcs,8.7,435.0,20290420/F21D33,8800250592247,core
GCCR23,GENOSYS SKIN BARRIER PROTECTING CREAM -100g,20,Pcs,17.5,350.0,20290514/WPE001,8809392232066,core
GCCR09,GENOSYS MULTI SUN CREAM (SPF40 PA++)-40g,50,Pcs,6.5,325.0,20290517/WPE002,8809205627386,core
GCCR37,GENOSYS ULTRA SHIELD SUN CREAM (SPF50+ PA++++) -50g,230,Pcs,9.3,2139.0,20290625/10012FF,8809849803436,core
GCCR46,GENOSYS REVITA GLOW BB CREAM #01 BRIGHT -50g,20,Pcs,8.2,164.0,20290527/TE177,8809783013113,core
GCCR47,GENOSYS REVITA GLOW BB CREAM #02 NATURAL -50g,40,Pcs,8.2,328.0,20290531/TE196,8809783013120,core
GCCR07,GENOSYS SOOTHING REPAIR POSTCREAM -20g*12pcs,7,Box,54.5,381.5,20290608/L0522D,8809046298684,core
GCFO02,GENOSYS Cushion + Refill / Color: #02 BEIGE,100,Box,14.0,1400.0,20290324/F25C43,8809639176368,core
GCFO03,GENOSYS Cushion + Refill / Color: #03 CAMEL,110,Box,14.0,1540.0,20290623/F24F45,8800250590366,core
GCHR18,GENOSYS HR3 MATRIX HAIR SOLUTION ALPHA (PROFESSIONAL),25,Box,26.9,672.5,20290329/WPC123,8809518823871,core
GMAC05,GENOSYS Non Woven Bag (S),300,Pcs,0.4,120.0,N/A,,tester_manual
GCCL03,GENOSYS SNOW O2 -4g * 30 pcs,5,Box,35.0,175.0,20290304/WPC024,,tester_manual
GCCR42,GENOSYS INTENSIVE BLEMISH BALM CREAM -2gx50pcs,4,Box,25.0,100.0,20290311/WPC058,,tester_manual
GCCR48,GENOSYS REVITA GLOW BB CREAM #01 BRIGHT -2g * 50 pcs,4,Box,40.0,160.0,20281107/SX205,,tester_manual
GCCR49,GENOSYS REVITA GLOW BB CREAM / Color: #02 NATURAL -2g * 50 pcs,4,Box,40.0,160.0,20281110/SX206,,tester_manual
GCCR20,GENOSYS INTENSIVE HYDRO SOOTHING CREAM -2g * 100 pcs,2,Box,34.0,68.0,20280805/WOH019,,tester_manual
GCCR22,GENOSYS INTENSIVE PROBLEM CONTROL CREAM -2g * 50 pcs,4,Box,23.0,92.0,20290305/F06C20,,tester_manual
GCSP-CB01,GENOSYS MULTI ANTI-WRINKLE SERUM + CREAM (MFC 2g + MFS 2g) * 50 pcs,5,Box,35.0,175.0,C:20290219/QB002 S:20290219/QB001,,tester_manual
GCSE18,GENOSYS MOISTURE REPLENISHING HYALURON SERUM -2mlx100pcs,2,Box,36.0,72.0,20290129/F30A07,,tester_manual
GCSE16,GENOSYS MULTI VITA RADIANCE SERUM -2mlx100pcs,2,Box,2.0,4.0,20280827/E28H22,,tester_manual
GCCR41,GENOSYS MOISTURE REPLENISHING HYALURON CREAM -2gx100pcs,2,Box,4.0,8.0,20290129/F30A07,,tester_manual
GCCR24,GENOSYS SKIN BARRIER PROTECTING CREAM -2g * 100 pcs,2,Box,4.0,8.0,20280713/WOG095,,tester_manual
GCEX02,GENOSYS EPI TURNOVER BOOSTING PEELING GEL -2gx50pcs,4,Box,3.0,12.0,20281202/PL068,,tester_manual
GCMA12,GENOSYS SKIN RESCUE OVERNIGHT CREAM MASK -2gx50pcs,4,Box,2.0,8.0,20290119/F20A21,,tester_manual
GCHR21,GENOSYS HR3 MATRIX MEDI SCALP SHAMPOO α -30ml,50,Pcs,1.0,50.0,20290601/F02Z001,,tester_manual
