itemCode,product,qty,unit,unitPriceUSD,amountUSD,mfgLot,barcode,kind,msCode,poQty,note
GRFS050,GENOSYS MANUAL DETACHABLE ROLLER -0.5mm,30,Pcs,8.00,240.00,290604/260605,8809392230529,core,00002,30,standard 0.50mm
GCMA05,GENOSYS HYDRO COOL MODELING MASK,30,Pcs,15.80,474.00,20281120/QE002,8809392232011,core,00013,30,
GCMA10,GENOSYS SOOTHING BOMB SEA ALAGE MASK(HOMECARE),30,Box,9.80,294.00,20290201/1ABRMP001,8809579274179,core,00140,300,30 Box → 300 sheets @ $0.98
GCMA06,GENOSYS INTENSIVE REPAIR COLLAGEN MASK,300,Pcs,0.80,240.00,20290211/3062FB,8809392232042,core,00063,300,
GCAP01,GENOSYS BIO-MESO PDRN HOMECARE AMPOULE 5000,30,Pcs,9.30,279.00,20290517/WPE002,8809849808110,core,54475,30,
GCCR09,GENOSYS MULTI SUN CREAM (SPF40 PA++) -40g,20,Pcs,6.50,130.00,20290625/10012FF,8809205627386,core,00041,20,
GCCR37,GENOSYS ULTRA SHIELD SUN CREAM (SPF50+ PA++++) -50g,30,Pcs,9.30,279.00,20290324/F25C43,8809849803436,core,54457,30,
GCFO02,GENOSYS Cushion + Refill / Color: #02 BEIGE,100,Box,8.30,830.00,20290329/WPC123,8809639176368,core,00144,100,value PDF $8.30; commercial PDF $14.00
GCHR18,GENOSYS HR3 MATRIX HAIR SOLUTION ALPHA (PROFESSIONAL),10,Box,26.90,269.00,N/A,8809518823871,core,00048,10,
GMBR09,GENOSYS Facial Treatment Leaflet (Folded),500,Pcs,0.20,100.00,N/A,,marketing,54490,500,
GMBR10,GENOSYS Eyecell Kit Leaflet(Folded),100,Pcs,0.20,20.00,N/A,,marketing,54491,100,
GMBR11,GENOSYS HR3 MATRIX Leaflet (Folded),100,Pcs,0.20,20.00,N/A,,marketing,54492,100,
GMAC05,GENOSYS Non Woven Bag (S),300,Pcs,0.70,210.00,N/A,,marketing,54486,300,
GCCL03,GENOSYS SNOW O2 -4g * 30 pcs,5,Box,35.00,175.00,20290304/WPC024,,tester,00111,5,
GCCR42,GENOSYS INTENSIVE BLEMISH BALM CREAM -2gx50pcs,4,Box,25.00,100.00,20290311/WPC058,,tester,00112,4,
GCCR20,GENOSYS INTENSIVE HYDRO SOOTHING CREAM -2g * 100 pcs,2,Box,34.00,68.00,20280805/WOH019,,tester,00114,2,
GCCR22,GENOSYS INTENSIVE PROBLEM CONTROL CREAM -2g * 50 pcs,4,Box,23.00,92.00,20290305/F06C20,,tester,00116,4,
GCSP-CB01,GENOSYS MULTI ANTI-WRINKLE SERUM -2ml*50pcs + CREAM-2g*50pcs,5,Box,35.00,175.00,C:20290219/QB002 S:20290219/QB001,,tester,00118,5,
GCSE18,GENOSYS MOISTURE REPLENISHING HYALURON SERUM -2mlx100pcs,2,Box,36.00,72.00,20290129/F30A07,,tester,54478,2,
GCSE16,GENOSYS MULTI VITA RADIANCE SERUM -2mlx100pcs,2,Box,36.00,72.00,20280827/E28H22,,tester,54489,2,
GCCR41,GENOSYS MOISTURE REPLENISHING HYALURON CREAM -2gx100pcs,2,Box,2.00,4.00,20290211/F12B20,,support,54479,2,
GCCR24,GENOSYS SKIN BARRIER PROTECTING CREAM -2g * 100 pcs,2,Box,3.00,6.00,20290303/WPC001,,support,00120,2,
GCEX02,GENOSYS EPI TURNOVER BOOSTING PEELING GEL -2gx50pcs,4,Box,2.00,8.00,20281202/PL068,,support,00135,4,
GCMA12,GENOSYS SKIN RESCUE OVERNIGHT CREAM MASK -2gx50pcs,4,Box,2.00,8.00,20290119F20A21,,support,54476,4,
GCHR21,GENOSYS HR3 MATRIX MEDI SCALP SHAMPOO α-30ml,100,Pcs,3.00,300.00,20290601/F02Z001,,support,00121,100,commercial PDF FOC; value PDF $3.00
GMHR02,GENOSYS HR3 MATRIX SCALP BRUSH,20,Pcs,1.00,20.00,N/A,8800065000357,support,54471,20,
GMBR15,GENOSYS CATALOGUE,50,Pcs,1.00,50.00,N/A,,foc_derma,54469,50,
GMBR07,GENOSYS Roller Leaflet (Foled),100,Pcs,0.10,10.00,N/A,,foc_derma,54493,100,
GMBR09,GENOSYS Facial Treatment Leaflet (Folded),100,Pcs,0.10,10.00,N/A,,foc_derma,54490,100,
GMBR10,GENOSYS Eyecell Kit Leaflet(Folded),100,Pcs,0.10,10.00,N/A,,foc_derma,54491,100,
GMBR11,GENOSYS HR3 MATRIX Leaflet (Folded),100,Pcs,0.10,10.00,N/A,,foc_derma,54492,100,
GMBR32,GENOSYS NEEDLE PEN-K Leaflet(Folded),100,Pcs,0.10,10.00,N/A,,foc_derma,54494,100,
GMBR29,GENOSYS HAIRGEN BOOSTER Leaflet,200,Pcs,0.10,20.00,N/A,,foc_derma,54495,200,
HGBR01,GENOSYS HAIR GENTRON Leaflet,100,Pcs,0.10,10.00,N/A,,foc_derma,54496,100,
GMBR13,GENOSYS NONWOVEN BAG (S) FOC,20,Pcs,0.10,2.00,N/A,,foc_derma,54486,20,
GCST00,GENOSYS TRIAL KIT,1,Box,1.00,1.00,N/A,,foc_derma,54497,1,
GCCL03,GENOSYS SNOW O2- 4g * 30 pcs FOC,7,Box,3.00,21.00,20281107/SX205,,foc_derma,00111,7,
GCCR10,GENOSYS INTENSIVE BLEMISH BALM CREAM - 2gx100pcs,2,Box,2.00,4.00,20281110/SX206,,foc_derma,54498,2,value+packing 2gx100; commercial PDF says 2gx50
GCCR32,GENOSYS MULTI VITA RADIANCE CREAM -2g * 100 pcs,2,Box,3.00,6.00,20280612/WOF062,,foc_derma,00134,2,
GCCR36,GENOSYS SOOTHING REPAIR POSTCREAM -2g x100pcs,2,Box,2.00,4.00,20281015/L0832C,,foc_derma,54499,2,tester box — not 00038 20g
GCMA12,GENOSYS SKIN RESCUE OVERNIGHT CREAM MASK -2gx50pcs FOC extra,4,Box,3.00,12.00,20270718/N19G21,,foc_derma,54476,4,
GCCR41,GENOSYS MOISTURE REPLENISHING HYALURON CREAM -2gx100pcs FOC extra,2,Box,2.00,4.00,20280414/E15D16,,foc_derma,54479,2,
GCSE18,GENOSYS MOISTURE REPLENISHING HYALURON SERUM -2mlx100pcs FOC extra,2,Box,2.00,4.00,20271111/N12K17,,foc_derma,54478,2,
GCEX02,GENOSYS EPI TURNOVER BOOSTING PEELING GEL - 2gx50pcs FOC extra,4,Box,2.00,8.00,20270221/OB207,,foc_derma,00135,4,
GCCR38,GENOSYS ULTRA SHEILD SUN CREAM -4gx50 pcs,4,Box,3.00,12.00,20270901/052DK,,foc_derma,54500,4,
GCCR48,GENOSYS REVITA GLOW BB CREAM #01 BRIGHT -2gx50 pcs,4,Box,2.00,8.00,20280929/SW108,,foc_derma,54487,4,
GCCR49,GENOSYS REVITA GLOW BB CREAM #02 Natural -2gx50 pcs,4,Box,2.00,8.00,20280929/SW108,,foc_derma,54488,4,
