sheet,category,itemCode,barcode,labeling,hsCode,description,shortCode,packSize,unit,priceUSD,notes
USD,"Detachable Manual Roller (Head part is detachable, handle is autoclavable)",GRFS025,8809392230512,FB025SR,9018.90.9080,"Manual Detachable Roller with changeable heads, Handle is autoclavable",0.25mm Needles,1 pcs,Box,8,
USD,"Detachable Manual Roller (Head part is detachable, handle is autoclavable)",GRFS050,8809392230529,FB050SR,9018.90.9080,"Manual Detachable Roller with changeable heads, Handle is autoclavable",0.50mm Needles,1 pcs,Box,8,
USD,"Detachable Manual Roller (Head part is detachable, handle is autoclavable)",GRFS100,8809392230536,FB100SR,9018.90.9080,"Manual Detachable Roller with changeable heads, Handle is autoclavable",1.0mm Needles,1 pcs,Box,8,
USD,"Detachable Manual Roller (Head part is detachable, handle is autoclavable)",GRFS150,8809392230543,FB150SR,9018.90.9080,"Manual Detachable Roller with changeable heads, Handle is autoclavable",1.5mm Needles,1 pcs,Box,8,
USD,"Detachable Manual Roller (Head part is detachable, handle is autoclavable)",GRFS200,8809392230550,FB200SR,9018.90.9080,"Manual Detachable Roller with changeable heads, Handle is autoclavable",2.0mm Needles,1 pcs,Box,8,
USD,"Detachable Manual Roller (Head part is detachable, handle is autoclavable)",GRFN025,8809392230758,FB025NR,9018.90.9080,"Manual Narrow Detachable Roller with changeable heads, Handle is autoclavable (NO STOCK, HAVE TO BE ORDERED IN ADVANCE)",0.25mm Needles,1 pcs,Box,8,
USD,"Detachable Manual Roller (Head part is detachable, handle is autoclavable)",GRFN050,8809392230765,FB050NR,9018.90.9080,"Manual Narrow Detachable Roller with changeable heads, Handle is autoclavable (NO STOCK, HAVE TO BE ORDERED IN ADVANCE)",0.50mm Needles,1 pcs,Box,8,
USD,"Detachable Manual Roller (Head part is detachable, handle is autoclavable)",GRFN100,8809392230772,FB100NR,9018.90.9080,"Manual Narrow Detachable Roller with changeable heads, Handle is autoclavable (NO STOCK, HAVE TO BE ORDERED IN ADVANCE)",1.0mm Needles,1 pcs,Box,8,
USD,"Detachable Manual Roller (Head part is detachable, handle is autoclavable)",GRFN150,8809392230789,FB150NR,9018.90.9080,"Manual Narrow Detachable Roller with changeable heads, Handle is autoclavable (NO STOCK, HAVE TO BE ORDERED IN ADVANCE)",1.5mm Needles,1 pcs,Box,8,
USD,"Detachable Manual Roller (Head part is detachable, handle is autoclavable)",GRFN200,8809392230796,FB200NR,9018.90.9080,"Manual Narrow Detachable Roller with changeable heads, Handle is autoclavable (NO STOCK, HAVE TO BE ORDERED IN ADVANCE)",2.0mm Needles,1 pcs,Box,8,
USD,Vibrating Roller & Replacement Heads,GRVS025,8809392230611,RW025SR,9018.90.9080,Vibrating Roller,0.25mm Needles,1 pcs,Box,16,
USD,Vibrating Roller & Replacement Heads,GRVS050,8809392230628,RW050SR,9018.90.9080,Vibrating Roller,0.50mm Needles,1 pcs,Box,16,
USD,Vibrating Roller & Replacement Heads,GRVS100,8809392230635,RW100SR,9018.90.9080,Vibrating Roller,1.0mm Needles,1 pcs,Box,16,
USD,Vibrating Roller & Replacement Heads,GRVS150,8809392230642,RW150SR,9018.90.9080,Vibrating Roller,1.5mm Needles,1 pcs,Box,16,
USD,Vibrating Roller & Replacement Heads,GRVS200,8809392230659,RW200SR,9018.90.9080,Vibrating Roller,2.0mm Needles,1 pcs,Box,16,
USD,Vibrating Roller & Replacement Heads,GRHS025,8809392230666,RWH025SR,9018.90.9080,Standard Replacement Heads,0.25mm Needles,2 pcs,Box,15,
USD,Vibrating Roller & Replacement Heads,GRHS050,8809392230673,RWH050SR,9018.90.9080,Standard Replacement Heads,0.50mm Needles,2 pcs,Box,15,
USD,Vibrating Roller & Replacement Heads,GRHS100,8809392230680,RWH100SR,9018.90.9080,Standard Replacement Heads,1.0mm Needles,2 pcs,Box,15,
USD,Vibrating Roller & Replacement Heads,GRHS150,8809392230697,RWH150SR,9018.90.9080,Standard Replacement Heads,1.5mm Needles,2 pcs,Box,15,
USD,Vibrating Roller & Replacement Heads,GRHS200,8809392230703,RWH200SR,9018.90.9080,Standard Replacement Heads,2.0mm Needles,2 pcs,Box,15,
USD,Vibrating Roller & Replacement Heads,GRHN025,8809392230857,RWH025NR,9018.90.9080,"Narrow Replacement Heads (NO STOCK, HAVE TO BE ORDERED IN ADVANCE)",0.25mm Needles,2 pcs,Box,15,
USD,Vibrating Roller & Replacement Heads,GRHN050,8809392230864,RWH050NR,9018.90.9080,"Narrow Replacement Heads (NO STOCK, HAVE TO BE ORDERED IN ADVANCE)",0.50mm Needles,2 pcs,Box,15,
USD,Vibrating Roller & Replacement Heads,GRHN100,8809392230871,RWH100NR,9018.90.9080,"Narrow Replacement Heads (NO STOCK, HAVE TO BE ORDERED IN ADVANCE)",1.0mm Needles,2 pcs,Box,15,
USD,Vibrating Roller & Replacement Heads,GRHN150,8809392230888,RWH150NR,9018.90.9080,"Narrow Replacement Heads (NO STOCK, HAVE TO BE ORDERED IN ADVANCE)",1.5mm Needles,2 pcs,Box,15,
USD,Vibrating Roller & Replacement Heads,GRHN200,8809392230895,RWH200NR,9018.90.9080,"Narrow Replacement Heads (NO STOCK, HAVE TO BE ORDERED IN ADVANCE)",2.0mm Needles,2 pcs,Box,15,
USD,"GENOSYS Body Roller (detachable head), Stamp, Eye Roller",GRMB025,8809392230383,B025SR,9018.90.9080,Manual Body Roller with TWIN Needle (PLEASE CHECK WITH US IN ADVANCE FOR AVAILABILITY),0.25mm Needles,1 pcs,Box,15,
