row,category,product,description,quantity_or_spec,unit,price_aed
9,"GENOSYS Detachable Manual/Vibrating Roller (Head part is detachable, handle is autoclavable)",Standard/Narrow Detachable Manual Roller,"Needle length: 0.25, 0.50, 1.00, 1.50, 2.00mm",1pcs,Pcs,115
11,"GENOSYS Detachable Manual/Vibrating Roller (Head part is detachable, handle is autoclavable)",Vibrating Roller,"Needle length: 0.25, 0.50, 1.00, 1.50, 2.00mm",1pcs,Pcs,205
14,"GENOSYS Stamp (Stamp, handle is not detachable)",Stamp,"Needle length: 0.25, 0.50, 1.00, 1.50mm",1pcs,Pcs,100
16,"GENOSYS Stamp (Stamp, handle is not detachable)",Eye Roller,Needle Length: 0.25mm,2pcs in a box,Box,105
18,"GENOSYS Stamp (Stamp, handle is not detachable)",Standard/Narrow Manual Roller,"Needle length: 0.25, 0.50, 1.00, 1.50, 2.00mm",1pcs,Pcs,105
21,GENOSYS Cosmetics,CERABARRIER BIOME GEL CLEANSER,Daily biome gel cleanser / Personal use,200ml,Pcs,190
23,GENOSYS Cosmetics,CERABARRIER BIOME GEL CLEANSER,Professional biome gel cleanser,600ml,Pcs,310
26,GENOSYS Bio Meso PDRN,BIO-MESO PDRN Homecare Ampoule 5000,Homecare BIO-MESO™ PDRN ampoule,50ml,Pcs,150
28,GENOSYS Bio Meso PDRN,BIO-MESO PDRN Expert Ampoule 60000,Expert bio-meso treatment ampoule · professional,3ml x 4 ampoules,Box,300
33,GENOSYS Mask,EZ CO₂ MASK,C02 Mask Kit,"20g tube x 5
12g sheet x 5",Box,230
35,GENOSYS Mask,INTENSIVE REPAIR COLLAGEN MASK,Intensive repair Collagen Mask,23g sheet,Pcs,18
37,GENOSYS Mask,SOOTHING BOMB SEA ALGAE MASK,Soothing Bomb Sea Algae Mask,23g sheet,Pcs,18
38,GENOSYS Mask,PEPTIDE GEL MASK,Peptide Gel Mask,39g sheet x 5,Box,190
40,GENOSYS Mask,BIO-FERMENT AGE DEFYING POWDER MASK,Bio-Ferment Age Defying Powder Mask,300g,Pcs,125
41,GENOSYS Mask,SKIN REBOOT PDRN MASK PACK,Skin Reboot PDRN Mask,350g (30 sheets),Pcs,200
42,GENOSYS Mask,HYDRO COOL MODELING MASK,Modelling Mask,1 KG,Pcs,300
45,GENOSYS  Peeling & Power Solution,SKIN RENEWAL PEELING SYSTEM (SRS),Soft Peeling,2ml * 10 vials,Box,405
47,GENOSYS  Peeling & Power Solution,POWER SOLUTION AWS,Anti-Wrinkle Solution,2ml * 10 vials,Box,290
49,GENOSYS  Peeling & Power Solution,POWER SOLUTION SWS,Skin Whitening Solution,2ml * 10 vials,Box,290
51,GENOSYS  Peeling & Power Solution,POWER SOLUTION PCS,Problem Control Solution,2ml * 10 vials,Box,290
53,GENOSYS  Peeling & Power Solution,POWER SOLUTION CVS,"Protection, Nutrition Solution",2ml * 10 vials,Box,290
55,GENOSYS  Peeling & Power Solution,POWER SOLUTION CTS,"Anti-Scar, Regeneration Solution",2ml * 10 vials,Box,290
57,GENOSYS  Peeling & Power Solution,POWER SOLUTION HES,"Anti redness, Instant Plumping Solution",2ml * 10 vials,Box,290
69,GENOSYS CLEANSER,SNOW O₂,Daily Bubble form Cleanser / Personal use,180ml,Pcs,165
71,GENOSYS CLEANSER,SNOW O₂,Professional Bubble form Cleanser,500ml,Pcs,255
74,GENOSYS TONER,SNOW BOOSTER,Daily Skin Toner / Personal use,200ml,Pcs,130
76,GENOSYS TONER,SNOW BOOSTER,Professional Skin Toner,1000ml,Pcs,245
78,GENOSYS TONER,PROBLEM CONTROL TONER,Daily Problem Control Toner / Personal use,200ml,Pcs,130
79,GENOSYS TONER,PROBLEM CONTROL TONER,Professional Problem Control Toner,500ml,Pcs,245
81,GENOSYS MAKEUP REMOVER,SKIN DEFENDER LIP & EYE MAKEUP REMOVER,Professional Make-up Remover for lip and eyes,200ml,Pcs,145
