registrationNumber,productName,barcode,status,expirationDate,validity
CPRE-2020-022086,ALL FOR SENSITIVE SERUM 30ml,8809392232035,Approved,3/6/2030,5 years
CPRE-2020-022052,ANTI-WRINKLE SERUM 30ml,8809205624842,Approved,3/6/2030,5 years
CPRE-2020-022195,Blemish Balm Cream 50g,8809205624880,Approved,3/6/2030,5 years
CPRE-2020-022140,Bodycell SM ERASER CREAM 230g,8809046299940,Approved,3/6/2030,5 years
CPRE-080126-185964,Medi Scalp Shampoo Α 300ml,8809954947704,Approved,26/01/2031,5 years
CPRE-2020-022231,EGF REPAIR OXYMASK CREAM 50g,8809518823826,Approved,3/6/2030,5 years
CPRE-2020-024215,EyeCell EYE CONTOUR CREAM,8809046298028,Approved,19/07/2030,5 years
CPRE-2020-023966,EyeCell EYE CONTOUR SERUM,8809046298011,Approved,19/07/2030,5 years
CPRE-280825-144931,EyeCell EYE PEPTIDE GEL PATCH,8809579273967,Approved,8/6/2030,5 years
CPRE-2020-024362,EyeCell Eye Zone Care KIT,8809046298035,Approved,19/07/2030,5 years
CPRE-060426-213151,EPI Turnover Boosting Peeling Gel,8809567929142,Approved,06/04/2031,5 years
CPRE-2020-021682,EZ CO₂ MASK (5 sheets),8809205627355,Approved,3/6/2030,5 years
CPRE-2020-021646,HR³ MATRIX HAIR SOLUTION Alpha (8 pcs: home),8809518824038,Approved,3/6/2030,5 years
CPRE-2020-022833,HR³ MATRIX HAIR SOLUTION Alpha (box 8 pcs),8809518823871,Approved,7/6/2030,5 years
CPRE-2020-022762,HR³ MATRIX HAIR TONIC 70ml,8809579273929,Approved,7/6/2030,5 years
CPRE-280825-144950,HR³ MATRIX SCALP & HAIR SHAMPOO 300ml,8809187047691,Approved,3/6/2030,5 years
CPRE-2020-022144,Hydro Cool Modeling Mask,8809392232011,Approved,3/6/2030,5 years
CPRE-2020-022733,INTENSIVE HYDRO SOOTHING CREAM 50g,8809205624866,Approved,7/6/2030,5 years
CPRE-2020-022798,INTENSIVE HYDRO SOOTHING CREAM 250g,8809392231175,Approved,7/6/2030,5 years
CPRE-2020-022506,INTENSIVE MULTI FUNCTIONAL CREAM 250g,8809392231199,Approved,3/6/2030,5 years
CPRE-2020-022089,INTENSIVE MULTI FUNCTIONAL CREAM 50g,8809205624859,Approved,3/6/2030,5 years
CPRE-2020-022493,INTENSIVE PROBLEM CONTROL CREAM 250g,8809392231212,Approved,3/6/2030,5 years
CPRE-2020-022091,INTENSIVE PROBLEM CONTROL CREAM 50g,8809205624903,Approved,3/6/2030,5 years
CPRE-2020-022259,Intensive Repair Collagen Mask (1 sheet),8809392232042,Approved,3/6/2030,5 years
CPRE-2020-022223,Multi Sun Cream 40g,8809205627386,Approved,3/6/2030,5 years
CPRE-2020-022828,Multi Vita Radiance 50g,8809518824212,Approved,7/6/2030,5 years
CPRE-2020-025002,Multi Vita Radiance 230g,8809518824229,Approved,24/06/2030,5 years
CPRE-2020-022118,ND Cell ANTI-WRINKLE CREAM 50g,8809046299964,Approved,3/6/2030,5 years
CPRE-2020-022661,PEPTIDE GEL MASK 1 sheet,8809139499424,Approved,4/6/2030,5 years
CPRE-2020-022657,POWER SOLUTION AWS 2ml * 10 vials (box),8809046298639,Approved,4/6/2030,5 years
CPRE-2020-021924,POWER SOLUTION CTS 2ml * 10 vials (box),8809046298677,Approved,3/6/2030,5 years
CPRE-2020-021923,POWER SOLUTION CVS 2ml * 10 vials (box),8809046298646,Approved,3/6/2030,5 years
CPRE-2020-021926,POWER SOLUTION HES 2ml * 10 vials (box),8809392231823,Approved,3/6/2030,5 years
CPRE-2020-021922,POWER SOLUTION PCS 2ml * 10 vials (box),8809046298660,Approved,3/6/2030,5 years
CPRE-2020-022818,POWER SOLUTION SWS 2ml * 10 vials (box),8809046298653,Approved,7/6/2030,5 years
CPRE-2020-022085,PROBLEM CONTROL SERUM 30ml,8809205624873,Approved,3/6/2030,5 years
CPRE-2020-022129,REVITALIZING HYDRO MIST 70ml,8809205626211,Approved,3/6/2030,5 years
CPRE-2020-022150,SKIN BARRIER PROTECTING CREAM 100g,8809392232066,Approved,3/6/2030,5 years
CPRE-2020-022123,SKIN RENEWAL PEELING SYSTEM (SRS) 2ml * 10 vials,8809392231144,Approved,3/6/2030,5 years
CPRE-161025-160245,Scalp Peeling A,8809518826469,Approved,26/01/2031,5 years
CPRE-2020-022273,Snow Booster 1000ml,8809205630256,Approved,3/6/2030,5 years
CPRE-2020-022032,Snow Booster 200ml,8809205628642,Approved,3/6/2030,5 years
CPRE-2020-022791,Snow O2 180ml,8809205627713,Approved,7/6/2030,5 years
CPRE-2020-022272,Snow O2 500ml,8809205630263,Approved,3/6/2030,5 years
CPRE-2020-022655,SOOTHING REPAIR POSTCREAM 20g,8809046298684,Approved,4/6/2030,5 years
CPRE-2020-024236,SOOTHING REPAIR POSTCREAM (box 12pcs),8809392231885,Approved,15/06/2030,5 years
CPRE-2021-046137,Soothing Bomb Sea Algae Mask (1 Sheet),8809579273974,Approved,10/10/2026,5 years
CPRE-2023-037830,Multi-Functional Anti-Wrinkle Cream 50g,8809579274537,Approved,11/07/2028,5 years
CPRE-2024-113526,Multi-Functional Anti-Wrinkle Cream 250g,8809579274599,Approved,22/05/2029,5 years
CPRE-2023-038775,Multi-Functional Anti-Wrinkle Serum 30ml,8809579274704,Approved,14/07/2028,5 years
CPRE-2023-026151,Microbiome Energy Infusing Mist 80ml,8809579274520,Approved,15/05/2028,5 years
CPRE-2023-030487,Skin Caring Blemish Balm Cushion (Ivory) 30g,8809639176351,Approved,02/06/2028,5 years
CPRE-2023-026664,Skin Caring Blemish Balm Cushion (Beige) 30g,8809639176368,Approved,17/05/2028,5 years
CPRE-011124-041744,Skin Caring Blemish Balm Cushion (Camel) 30g,8800250590366,Approved,19/12/2029,5 years
CPRE-2023-026594,Skin Rescue Overnight Cream Mask 100g,8809639177464,Approved,17/05/2028,5 years
CPRE-2023-069388,Ultra Shield Sun Cream 50g,8809849803436,Approved,27/11/2028,5 years
CPRE-221125-172696,Ultra Shield Sun Cream 50g,8809849808165,Approved,26/01/2031,5 years
CPRE-2023-069763,Problem Control Toner 200ml,8809579274438,Approved,28/11/2028,5 years
CPRE-2024-113711,Problem Control Toner 500ml,8809579274483,Approved,22/05/2029,5 years
CPRE-2023-069571,Multi Vita Radiance Serum 30ml,8809639178614,Approved,08/02/2029,5 years
CPRE-2024-116345,Moisture Replenishing Hyaluron Serum 30g,8809639178775,Approved,06/06/2029,5 years
CPRE-161224-057971,Soothing Repair Post cream 100g,8809367898143,Approved,27/12/2029,5 years
CPRE-2024-123008,SKIN DEFENDER LIP & EYE MAKEUP REMOVER,8809975190530,Approved,11/07/2029,5 years
CPRE-140525-108013,Moisture Replenishing Hyaluron Cream 250g,8809639178782,Approved,14/05/2029,5 years
CPRE-2024-116331,Moisture Replenishing Hyaluron Cream 50g,8809639178799,Approved,06/06/2029,5 years
CPRE-080525-106194,Bio-Ferment Age Defying Powder Mask,8809575679640,Approved,08/05/2029,5 years
CPRE-270625-122455,Skin Reboot PDRN Mask Pack (1 box = 30 pcs),8809849807809,Approved,27/06/2029,5 years
CPRE-221125-172642,Bio-MESO PDRN Expert Ampoule 60000 (box),8809849808189,Approved,22/05/2029,5 years
CPRE-240126-191961,Bio-MESO PDRN Homecare Ampoule 5000 (box),8809849808110,Approved,26/01/2031,5 years
CPRE-280126-193239,Revita Glow Bb Cream #02 Natural,8809783013120,Approved,28/01/2031,5 years
CPRE-260126-192507,Revita Glow Bb Cream #01 Bright,8809783013113,Approved,26/01/2031,5 years
CPRE-250626-236787-0001,GENOSYS CERABARRIER BIOME GEL CLEANSER 200ml,8809849809834,Approved,25/06/2031,5 years
CPRE-250626-236786-0001,GENOSYS CERABARRIER BIOME GEL CLEANSER 600ml,8809849809841,Approved,25/06/2031,5 years
